,0,1,2,3
normed_walltime,0.769240408358825,0.5725655106328088,0.6592009729849261,1.0
threads,1,1,1,1
ranks,896,1792,3584,7168
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,78807.5,40861.5,20268.0,12620.9
msfem.Elliptic_MsFEM_Solver.apply_max_usr,79750,41140,20630,12820
ideal_parallel_efficiency,1,1,1,1
cores,896,1792,3584,7168
ideal_speedup,1.0,2.0,4.0,8.0
ideal_scaleup,1.0,0.5,0.25,0.125
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,79427.1,41202.0,20449.2,12743.5
msfem.Elliptic_MsFEM_Solver.apply_max_wall,80359,41452,20814,12916
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,425.25699999999995,231.546,119.741,78.0078
msfem.Elliptic_MsFEM_Solver.apply_max_sys,540,350,220,160
msfem.algorithm_avg_usr,83897.6,44290.6,22159.2,17852.3
msfem.algorithm_max_usr,88900,54180,37100,37670
msfem.algorithm_avg_wall,104359.0,77677.0,89430.4,135665.0
msfem.algorithm_max_wall,105208,78008,89929,136580
msfem.algorithm_avg_sys,477.199,272.573,152.179,130.451
msfem.algorithm_max_sys,620,430,290,310
msfem.all_avg_usr,83897.6,44290.7,22159.2,17852.4
msfem.all_max_usr,88900,54180,37100,37670
msfem.all_avg_wall,104359.0,77677.1,89430.5,135665.0
msfem.all_max_wall,105208,78008,89930,136580
msfem.all_avg_sys,477.277,272.645,152.22899999999998,130.506
msfem.all_max_sys,620,430,290,310
msfem.coarse.assemble_avg_usr,41558.7,20769.3,10385.2,5190.64
msfem.coarse.assemble_max_usr,46190,23890,11700,7850
msfem.coarse.assemble_avg_wall,41661.0,20820.5,10411.8,5203.64
msfem.coarse.assemble_max_wall,46296,23947,11728,7870
msfem.coarse.assemble_avg_sys,8.30357,4.4252199999999995,2.73717,1.51786
msfem.coarse.assemble_max_sys,30,20,40,40
msfem.coarse.linearSolver_avg_usr,48.9844,37.5,39.1183,37.9088
msfem.coarse.linearSolver_max_usr,60,50,60,60
msfem.coarse.linearSolver_avg_wall,57.5826,45.9994,49.0061,49.9332
msfem.coarse.linearSolver_max_wall,58,46,50,50
msfem.coarse.linearSolver_avg_sys,2.1317,1.9140599999999999,2.08705,2.1596
msfem.coarse.linearSolver_max_sys,20,20,20,20
msfem.coarse.solve_avg_usr,49.0402,37.5335,39.1434,37.9436
msfem.coarse.solve_max_usr,60,50,60,60
msfem.coarse.solve_avg_wall,57.8281,45.9994,49.0566,49.9441
msfem.coarse.solve_max_wall,58,46,50,50
msfem.coarse.solve_avg_sys,2.1317,1.9140599999999999,2.08705,2.16099
msfem.coarse.solve_max_sys,20,20,20,20
msfem.idFine_avg_usr,1249.23,624.2130000000001,311.906,156.028
msfem.idFine_max_usr,1680,880,410,220
msfem.idFine_avg_wall,1254.38,626.562,312.892,156.314
msfem.idFine_max_wall,1686,881,414,212
msfem.idFine_avg_sys,2.42188,1.36719,0.823103,0.426897
msfem.idFine_max_sys,20,20,20,10
msfem.local.solve_for_all_cells_avg_usr,23297.7,11650.4,5827.47,2917.25
msfem.local.solve_for_all_cells_max_usr,29790,15620,8060,4920
msfem.local.solve_for_all_cells_avg_wall,23704.9,11864.3,5939.01,2976.31
msfem.local.solve_for_all_cells_max_wall,30254,15857,8162,5025
msfem.local.solve_for_all_cells_avg_sys,346.819,179.247,92.9967,47.6535
msfem.local.solve_for_all_cells_max_sys,490,300,180,140
msfem.local_grids_avg_usr,2.25446,1.1607100000000001,0.638951,0.351562
msfem.local_grids_max_usr,10,10,10,10
msfem.local_grids_avg_wall,2.62277,0.861049,0.000279018,0.0
msfem.local_grids_max_wall,4,1,1,0
msfem.local_grids_avg_sys,0.558036,0.412946,0.245536,0.078125
msfem.local_grids_max_sys,10,10,10,10
msfem.setup.grid_avg_usr,5081.88,3424.39,1888.31,5229.44
msfem.setup.grid_max_usr,10150,13600,16760,25050
msfem.setup.grid_avg_wall,24799.5,35135.7,68072.4,121764.0
msfem.setup.grid_max_wall,24843,35209,68131,121942
msfem.setup.grid_avg_sys,50.9933,39.9498,31.7383,52.0759
msfem.setup.grid_max_sys,130,170,150,230
msfem.setup.problem_avg_usr,0.0111607,0.09486610000000001,0.078125,0.2274
msfem.setup.problem_max_usr,10,10,10,10
msfem.setup.problem_avg_wall,0,0,0,0
msfem.setup.problem_max_wall,0,0,0,0
msfem.setup.problem_avg_sys,0.0111607,0.027901799999999997,0.047432999999999996,0.0530134
msfem.setup.problem_max_sys,10,10,10,10
proxy.add_avg_usr,2201.08,1099.65,550.179,273.997
proxy.add_max_usr,2710,1260,820,400
proxy.add_avg_wall,2208.35,1103.17,551.616,274.337
proxy.add_max_wall,2710,1259,814,405
proxy.add_avg_sys,2.72321,1.40067,0.661272,0.302734
proxy.add_max_sys,20,20,10,10
global.datadir,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/speedup_n896_x_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/speedup_n1792_x_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/speedup_n3584_x_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/speedup_n7168_x_T1
global.output_walltime,1.0,1.0,1.0,1.0
global.skip_error,1.0,1.0,1.0,1.0
global.vtk_output,0.0,0.0,0.0,0.0
grids.dim,3.0,3.0,3.0,3.0
grids.macro_cells_per_dim,64.0,64.0,64.0,64.0
grids.micro_cells_per_macrocell_dim,8.0,8.0,8.0,8.0
grids.overlap,1.0,1.0,1.0,1.0
grids.total_fine_cells,134217728.0,134217728.0,134217728.0,134217728.0
grids.total_macro_cells,262144.0,262144.0,262144.0,262144.0
logging.dir,logdata,logdata,logdata,logdata
logging.file,ms.log,ms.log,ms.log,ms.log
logging.level,22.0,22.0,22.0,22.0
msfem.coarse_solver,bicgstab.ilut,bicgstab.ilut,bicgstab.ilut,bicgstab.ilut
msfem.coarse_solver.check,0.0,0.0,0.0,0.0
msfem.coarse_solver.max_iter,40.0,40.0,40.0,40.0
msfem.coarse_solver.verbose,6.0,6.0,6.0,6.0
msfem.fem_comparison,0.0,0.0,0.0,0.0
msfem.local_corrections_vtk_output,0.0,0.0,0.0,0.0
msfem.local_solver,umfpack,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,118492,112196,129672,194640
global.meanPeakMemoryConsumption,111640,105634,124873,188857
msfem.setup.problem_max_usr_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_usr_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_speedup,1.0,0.118,0.143,0.049
msfem.setup.problem_avg_usr_parallel_efficiency,1.0,0.059,0.03575,0.006125
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.setup.problem_max_sys_abspart,0.016,0.023,0.034,0.032
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_speedup,1.0,0.4,0.235,0.211
msfem.setup.problem_avg_sys_parallel_efficiency,1.0,0.2,0.05875,0.026375
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_speedup,,,,
msfem.setup.problem_max_wall_parallel_efficiency,,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_speedup,,,,
msfem.setup.problem_avg_wall_parallel_efficiency,,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,inf,inf,inf,inf
msfem.setup.problem_avg_usr_threadeff,inf,inf,inf,inf
proxy.add_max_usr_speedup,1.0,2.151,3.305,6.775
proxy.add_max_usr_parallel_efficiency,1.0,1.0755,0.82625,0.846875
proxy.add_max_usr_abspart,0.03,0.023,0.022,0.011
proxy.add_max_usr_wallpart,0.026,0.016,0.009,0.003
proxy.add_avg_usr_speedup,1.0,2.002,4.001,8.033
proxy.add_avg_usr_parallel_efficiency,1.0,1.001,1.00025,1.004125
proxy.add_avg_usr_abspart,0.026,0.025,0.025,0.015
proxy.add_avg_usr_wallpart,0.021,0.014,0.006,0.002
proxy.add_max_sys_speedup,1.0,1.0,2.0,2.0
proxy.add_max_sys_parallel_efficiency,1.0,0.5,0.5,0.25
proxy.add_max_sys_abspart,0.032,0.047,0.034,0.032
proxy.add_max_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_avg_sys_speedup,1.0,1.944,4.118,8.995
proxy.add_avg_sys_parallel_efficiency,1.0,0.972,1.0295,1.124375
proxy.add_avg_sys_abspart,0.006,0.005,0.004,0.002
proxy.add_avg_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_max_wall_speedup,1.0,2.153,3.329,6.691
proxy.add_max_wall_parallel_efficiency,1.0,1.0765,0.83225,0.836375
proxy.add_max_wall_abspart,0.026,0.016,0.009,0.003
proxy.add_max_wall_wallpart,0.026,0.016,0.009,0.003
proxy.add_avg_wall_speedup,1.0,2.002,4.003,8.05
proxy.add_avg_wall_parallel_efficiency,1.0,1.001,1.00075,1.00625
proxy.add_avg_wall_abspart,0.021,0.014,0.006,0.002
proxy.add_avg_wall_wallpart,0.021,0.014,0.006,0.002
proxy.add_max_usr_threadeff,1.0,1.001,1.007,0.988
proxy.add_avg_usr_threadeff,0.997,0.997,0.997,0.999
msfem.coarse.linearSolver_max_usr_speedup,1.0,1.2,1.0,1.0
msfem.coarse.linearSolver_max_usr_parallel_efficiency,1.0,0.6,0.25,0.125
msfem.coarse.linearSolver_max_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.linearSolver_max_usr_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_usr_speedup,1.0,1.306,1.252,1.292
msfem.coarse.linearSolver_avg_usr_parallel_efficiency,1.0,0.653,0.313,0.1615
msfem.coarse.linearSolver_avg_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.linearSolver_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.coarse.linearSolver_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.coarse.linearSolver_max_sys_abspart,0.032,0.047,0.069,0.065
msfem.coarse.linearSolver_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_sys_speedup,1.0,1.114,1.021,0.987
msfem.coarse.linearSolver_avg_sys_parallel_efficiency,1.0,0.557,0.25525,0.123375
msfem.coarse.linearSolver_avg_sys_abspart,0.004,0.007,0.014,0.017
msfem.coarse.linearSolver_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_speedup,1.0,1.261,1.16,1.16
msfem.coarse.linearSolver_max_wall_parallel_efficiency,1.0,0.6305,0.29,0.145
msfem.coarse.linearSolver_max_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_max_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_wall_speedup,1.0,1.252,1.175,1.153
msfem.coarse.linearSolver_avg_wall_parallel_efficiency,1.0,0.626,0.29375,0.144125
msfem.coarse.linearSolver_avg_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_max_usr_threadeff,1.034,1.087,1.2,1.2
msfem.coarse.linearSolver_avg_usr_threadeff,0.851,0.815,0.798,0.759
msfem.coarse.assemble_max_usr_speedup,1.0,1.933,3.948,5.884
msfem.coarse.assemble_max_usr_parallel_efficiency,1.0,0.9665,0.987,0.7355
msfem.coarse.assemble_max_usr_abspart,0.52,0.441,0.315,0.208
msfem.coarse.assemble_max_usr_wallpart,0.439,0.306,0.13,0.057
msfem.coarse.assemble_avg_usr_speedup,1.0,2.001,4.002,8.006
msfem.coarse.assemble_avg_usr_parallel_efficiency,1.0,1.0005,1.0005,1.00075
msfem.coarse.assemble_avg_usr_abspart,0.495,0.469,0.469,0.291
msfem.coarse.assemble_avg_usr_wallpart,0.398,0.267,0.116,0.038
msfem.coarse.assemble_max_sys_speedup,1.0,1.5,0.75,0.75
msfem.coarse.assemble_max_sys_parallel_efficiency,1.0,0.75,0.1875,0.09375
msfem.coarse.assemble_max_sys_abspart,0.048,0.047,0.138,0.129
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_speedup,1.0,1.876,3.034,5.471
msfem.coarse.assemble_avg_sys_parallel_efficiency,1.0,0.938,0.7585,0.683875
msfem.coarse.assemble_avg_sys_abspart,0.017,0.016,0.018,0.012
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_speedup,1.0,1.933,3.947,5.883
msfem.coarse.assemble_max_wall_parallel_efficiency,1.0,0.9665,0.98675,0.735375
msfem.coarse.assemble_max_wall_abspart,0.44,0.307,0.13,0.058
msfem.coarse.assemble_max_wall_wallpart,0.44,0.307,0.13,0.058
msfem.coarse.assemble_avg_wall_speedup,1.0,2.001,4.001,8.006
msfem.coarse.assemble_avg_wall_parallel_efficiency,1.0,1.0005,1.00025,1.00075
msfem.coarse.assemble_avg_wall_abspart,0.399,0.268,0.116,0.038
msfem.coarse.assemble_avg_wall_wallpart,0.399,0.268,0.116,0.038
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.998,0.997
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.998,0.997,0.998
msfem.all_max_usr_speedup,1.0,1.641,2.396,2.36
msfem.all_max_usr_parallel_efficiency,1.0,0.8205,0.599,0.295
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.845,0.695,0.413,0.276
msfem.all_avg_usr_speedup,1.0,1.894,3.786,4.7
msfem.all_avg_usr_parallel_efficiency,1.0,0.947,0.9465,0.5875
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.804,0.57,0.248,0.132
